k,N,D,Time(us)
10,1000,1,22108
10,1000,2,48773
10,1000,3,55971
10,1000,4,66125
10,1000,5,64900
10,1000,6,71618
10,1000,7,71615
10,1000,8,83926
10,1000,9,90924
10,1000,10,98383
