k,Const_N,Const_D,Time(us)
0,1000,2,30
1,1000,2,606
2,1000,2,1489
3,1000,2,2261
4,1000,2,2888
5,1000,2,3208
6,1000,2,3745
7,1000,2,4484
8,1000,2,4866
9,1000,2,5428
