Const_k,N,Const_D,Time(us)
10,1,2,50
10,50,2,372
10,100,2,578
10,200,2,1039
10,400,2,1720
10,800,2,2631
10,1600,2,3600
10,3200,2,5356
10,6400,2,8042
10,12800,2,10941
