k,N,D,Time(us)
10,1000,1,5129
10,1000,2,6341
10,1000,3,6184
10,1000,4,6657
10,1000,5,6910
10,1000,6,8187
10,1000,7,7789
10,1000,8,9688
10,1000,9,10713
10,1000,10,11099
